category,project,path,number,version,filename
module,Geoviewer API,/artifact/nl.cloudfarming.client/geoviewer-api,43,1.0.24,jars/nl.cloudfarming.client__geoviewer-api___1.0.24.jar
module,Utilities,/artifact/nl.cloudfarming.client/util,42,1.0.24,jars/nl.cloudfarming.client__util___1.0.24.jar
module,GraphAPI,/artifact/org.gephi/graph-api,42,0.9.2,jars/org.gephi__graph-api___0.9.2.jar
module,PowerMock,/artifact/org.powermock/powermock-module-testng-common,42,2.0.9,jars/org.powermock__powermock-module-testng-common___2.0.9.jar
module,MaPSeq :: Modules,/artifact/edu.unc.mapseq/modules,42,0.0.44,jars/edu.unc.mapseq__modules___0.0.44.jar
module,NetBeans Modules Masterfs,/artifact/org.netbeans.modules/org-netbeans-modules-masterfs,42,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-masterfs___RELEASE122.jar
module,Geronimo :: Kernel,/artifact/org.apache.geronimo.modules/geronimo-kernel,41,2.0.2,jars/org.apache.geronimo.modules__geronimo-kernel___2.0.2.jar
module,NetBeans Modules Gsf TestRunner,/artifact/org.netbeans.modules/org-netbeans-modules-gsf-testrunner,41,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-gsf-testrunner___RELEASE122.jar
module,Mule Services,/artifact/org.mule.modules/mule-module-service,40,error,error
module,ProjectAPI,/artifact/org.gephi/project-api,40,0.9.2,jars/org.gephi__project-api___0.9.2.jar
module,Apache DeltaSpike Test Control Module API,/artifact/org.apache.deltaspike.modules/deltaspike-test-control-module-api,40,1.9.4,jars/org.apache.deltaspike.modules__deltaspike-test-control-module-api___1.9.4.jar
module,NetBeans Modules J2EE Core,/artifact/org.netbeans.api/org-netbeans-modules-j2ee-core,40,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-j2ee-core___RELEASE122.jar
module,Mule Extensions Support,/artifact/org.mule.runtime/mule-module-extensions-support,39,4.1.1,jars/org.mule.runtime__mule-module-extensions-support___4.1.1.jar
module,NetBeans Modules Mobility Licensing,/artifact/org.netbeans.modules/org-netbeans-modules-mobility-licensing,39,RELEASE802,jars/org.netbeans.modules__org-netbeans-modules-mobility-licensing___RELEASE802.jar
module,NetBeans Modules Java Lexer,/artifact/org.netbeans.api/org-netbeans-modules-java-lexer,39,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-java-lexer___RELEASE122.jar
module,NetBeans Modules J2EE Common,/artifact/org.netbeans.modules/org-netbeans-modules-j2ee-common,39,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-j2ee-common___RELEASE122.jar
module,DNet AD Domain,/artifact/net.nan21.dnet/nan21.dnet.module.ad.domain,38,1.0.6,jars/net.nan21.dnet__nan21.dnet.module.ad.domain___1.0.6.jar
module,Mule Extensions Spring Support,/artifact/org.mule.runtime/mule-module-extensions-spring-support,38,4.1.1,jars/org.mule.runtime__mule-module-extensions-spring-support___4.1.1.jar
module,NetBeans Modules Diff,/artifact/org.netbeans.api/org-netbeans-modules-diff,38,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-diff___RELEASE122.jar
module,DP2 Braille Modules :: Common Utilities,/artifact/org.daisy.pipeline.modules.braille/common-utils,37,8.1.0,jars/org.daisy.pipeline.modules.braille__common-utils___8.1.0.jar
module,NetBeans Modules Servletjspapi,/artifact/org.netbeans.api/org-netbeans-modules-servletjspapi,37,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-servletjspapi___RELEASE122.jar
module,NetBeans Modules XML Core,/artifact/org.netbeans.api/org-netbeans-modules-xml-core,37,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-xml-core___RELEASE122.jar
module,Magnolia Standard Templating Kit,/artifact/info.magnolia/magnolia-module-standard-templating-kit,37,3.1.1,jars/info.magnolia__magnolia-module-standard-templating-kit___3.1.1.jar
module,WildFly Swarm: Container Modules,/artifact/org.wildfly.swarm/wildfly-swarm-container-modules,37,error,error
module,Doxia :: XHTML Module,/artifact/org.apache.maven.doxia/doxia-module-xhtml,37,1.9.1,jars/org.apache.maven.doxia__doxia-module-xhtml___1.9.1.jar
module,NetBeans Modules CND API Project,/artifact/org.netbeans.modules/org-netbeans-modules-cnd-api-project,36,RELEASE701,jars/org.netbeans.modules__org-netbeans-modules-cnd-api-project___RELEASE701.jar
module,Management Extensions,/artifact/org.mule.modules/mule-module-management,36,3.9.0,jars/org.mule.modules__mule-module-management___3.9.0.jar
module,Library SwingX,/artifact/nl.cloudfarming.client/lib-swingx,36,1.6.2-NB80-NO-WS,jars/nl.cloudfarming.client__lib-swingx___1.6.2-NB80-NO-WS.jar
module,Geronimo Framework Modules :: J2EE,/artifact/org.apache.geronimo.modules/geronimo-j2ee,36,3.0.1,jars/org.apache.geronimo.modules__geronimo-j2ee___3.0.1.jar
module,TheseFoolishThings Logger,/artifact/it.tidalwave.thesefoolishthings/it.tidalwave.util.logging,35,1.1.2,jars/it.tidalwave.thesefoolishthings__it.tidalwave.util.logging___1.1.2.jar
module,OpenBlueSky Role Provider,/artifact/it.tidalwave.netbeans/it-tidalwave-netbeans-capabilitiesprovider,35,1.1.34,jars/it.tidalwave.netbeans__it-tidalwave-netbeans-capabilitiesprovider___1.1.34.jar
module,NetBeans Modules Maven,/artifact/org.netbeans.modules/org-netbeans-modules-maven,35,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-maven___RELEASE122.jar
module,PowerMock,/artifact/org.powermock/powermock-module-junit4-common,35,2.0.9,jars/org.powermock__powermock-module-junit4-common___2.0.9.jar
module,MaPSeq :: Modules,/artifact/edu.unc.mapseq/mapseq-modules,34,0.1.18,jars/edu.unc.mapseq__mapseq-modules___0.1.18.jar
module,Scala ASM,/artifact/org.scala-lang.modules/scala-asm,34,9.1.0-scala-1,jars/org.scala-lang.modules__scala-asm___9.1.0-scala-1.jar
module,NetBeans Modules XML Catalog,/artifact/org.netbeans.api/org-netbeans-modules-xml-catalog,34,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-xml-catalog___RELEASE122.jar
module,SSH Server,/artifact/org.jenkins-ci.modules/sshd,34,2.0,jars/org.jenkins-ci.modules__sshd___2.0.jar
module,Cloudfarming EventBus NetBeans Module,/artifact/nl.cloudfarming.eventbus/cloudfarming-eventbus,34,1.0.3,jars/nl.cloudfarming.eventbus__cloudfarming-eventbus___1.0.3.jar
module,Utilities Swing,/artifact/nl.cloudfarming.client/util-swing,34,1.0.24,jars/nl.cloudfarming.client__util-swing___1.0.24.jar
module,NetBeans Modules Java API Common,/artifact/org.netbeans.modules/org-netbeans-modules-java-api-common,33,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-java-api-common___RELEASE122.jar
module,NetBeans Modules Options Editor,/artifact/org.netbeans.modules/org-netbeans-modules-options-editor,33,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-options-editor___RELEASE122.jar
client,Apache HttpClient,/artifact/org.apache.httpcomponents/httpclient,10373,4.5.13,jars/org.apache.httpcomponents__httpclient___4.5.13.jar
client,OkHttp,/artifact/com.squareup.okhttp3/okhttp,5191,4.9.1,jars/com.squareup.okhttp3__okhttp___4.9.1.jar
client,Apache HttpCore,/artifact/org.apache.httpcomponents/httpcore,3640,4.4.14,jars/org.apache.httpcomponents__httpcore___4.4.14.jar
client,Retrofit,/artifact/com.squareup.retrofit2/retrofit,3334,2.9.0,jars/com.squareup.retrofit2__retrofit___2.9.0.jar
client,HttpClient,/artifact/commons-httpclient/commons-httpclient,2726,3.1,jars/commons-httpclient__commons-httpclient___3.1.jar
client,Jedis,/artifact/redis.clients/jedis,1421,3.5.1,jars/redis.clients__jedis___3.5.1.jar
client,Jersey Client,/artifact/com.sun.jersey/jersey-client,1357,1.19.4,jars/com.sun.jersey__jersey-client___1.19.4.jar
client,Apache Kafka,/artifact/org.apache.kafka/kafka-clients,1338,2.7.0,jars/org.apache.kafka__kafka-clients___2.7.0.jar
client,Clj HTTP,/artifact/clj-http/clj-http,1324,3.12.1,jars/clj-http__clj-http___3.12.1.jar
client,OkHttp,/artifact/com.squareup.okhttp/okhttp,1233,2.7.5,jars/com.squareup.okhttp__okhttp___2.7.5.jar
client,Jersey Core Client,/artifact/org.glassfish.jersey.core/jersey-client,1191,3.0.1,jars/org.glassfish.jersey.core__jersey-client___3.0.1.jar
client,MongoDB Java Driver,/artifact/org.mongodb/mongo-java-driver,1118,3.12.8,jars/org.mongodb__mongo-java-driver___3.12.8.jar
client,Apache Hadoop Client Aggregator,/artifact/org.apache.hadoop/hadoop-client,1106,3.3.0,jars/org.apache.hadoop__hadoop-client___3.3.0.jar
client,Server,/artifact/org.elasticsearch/elasticsearch,1032,7.11.1,jars/org.elasticsearch__elasticsearch___7.11.1.jar
client,Spring JMS,/artifact/org.springframework/spring-jms,919,5.3.4,jars/org.springframework__spring-jms___5.3.4.jar
client,Apache Hadoop MapReduce Core,/artifact/org.apache.hadoop/hadoop-mapreduce-client-core,789,3.3.0,jars/org.apache.hadoop__hadoop-mapreduce-client-core___3.3.0.jar
client,Spring Data MongoDB Core,/artifact/org.springframework.data/spring-data-mongodb,748,3.1.5,jars/org.springframework.data__spring-data-mongodb___3.1.5.jar
